Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (03, 03) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (25, 11) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (22, 11) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (08, 14) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (07, 26) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (03, 03) | Orientación: 1 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (25, 11) | Orientación: 1 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (22, 11) | Orientación: 1 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (08, 14) | Orientación: 1 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (07, 26) | Orientación: 1 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (03, 03) | Orientación: 3 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (25, 11) | Orientación: 3 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (22, 11) | Orientación: 3 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (08, 14) | Orientación: 3 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 0 | Coordenadas: (07, 26) | Orientación: 3 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 1 | Coordenadas: (03, 03) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 1 | Coordenadas: (25, 11) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 1 | Coordenadas: (22, 11) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 1 | Coordenadas: (08, 14) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 1 | Coordenadas: (07, 26) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 2 | Coordenadas: (03, 03) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 2 | Coordenadas: (25, 11) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 2 | Coordenadas: (22, 11) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 2 | Coordenadas: (08, 14) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 2 | Coordenadas: (07, 26) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 3 | Coordenadas: (03, 03) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 3 | Coordenadas: (25, 11) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 3 | Coordenadas: (22, 11) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 3 | Coordenadas: (08, 14) | Orientación: 0 | Porcentaje: 	
Mapa30 | Semilla: 0 | Nivel: 3 | Coordenadas: (07, 26) | Orientación: 0 | Porcentaje: 	
Mapa50 | Semilla: 0 | Nivel: 0 | Coordenadas: (42, 19) | Orientación: 0 | Porcentaje: 	
Mapa50 | Semilla: 0 | Nivel: 0 | Coordenadas: (07, 09) | Orientación: 0 | Porcentaje: 	
Mapa50 | Semilla: 0 | Nivel: 0 | Coordenadas: (09, 42) | Orientación: 0 | Porcentaje: 	
Mapa50 | Semilla: 0 | Nivel: 0 | Coordenadas: (42, 19) | Orientación: 2 | Porcentaje: 	
Mapa50 | Semilla: 0 | Nivel: 0 | Coordenadas: (07, 09) | Orientación: 2 | Porcentaje: 	
Mapa50 | Semilla: 0 | Nivel: 0 | Coordenadas: (09, 42) | Orientación: 2 | Porcentaje: 	
Mapa50 | Semilla: 0 | Nivel: 0 | Coordenadas: (42, 19) | Orientación: 4 | Porcentaje: 	
Mapa50 | Semilla: 0 | Nivel: 0 | Coordenadas: (07, 09) | Orientación: 4 | Porcentaje: 	
Mapa50 | Semilla: 0 | Nivel: 0 | Coordenadas: (09, 42) | Orientación: 4 | Porcentaje: 	
Mapa50 | Semilla: 0 | Nivel: 0 | Coordenadas: (42, 19) | Orientación: 5 | Porcentaje: 	
Mapa50 | Semilla: 0 | Nivel: 0 | Coordenadas: (07, 09) | Orientación: 5 | Porcentaje: 	
